"t","c","o","h","l","v","sym","pc"
1371330000,205,206,214,205,3116,"ADBL",-0.49
1371420000,206,205,206,201,3177,"ADBL",0.49
1371510000,203,206,205,202,3775,"ADBL",-1.46
1371590000,204,203,204,200,2193,"ADBL",0.49
1371680000,202,204,204,200,2914,"ADBL",-0.98
1371940000,202,202,205,200,3944,"ADBL",0
1372020000,204,202,204,200,2863,"ADBL",0.99
1372110000,212,204,212,201,1591,"ADBL",3.92
1372200000,210,212,214,209,2267,"ADBL",-0.94
1372280000,204,210,209,202,2462,"ADBL",-2.86
1372540000,204,204,204,200,4074,"ADBL",0
1372630000,204,204,204,201,8440,"ADBL",0
1372720000,214,204,214,202,6663,"ADBL",4.9
1372800000,217,214,223,214,8503,"ADBL",1.4
1372890000,216,217,218,212,2654,"ADBL",-0.46
1373150000,212,216,213,208,1944,"ADBL",-1.85
1373230000,213,212,213,210,1314,"ADBL",0.47
1373320000,216,213,216,212,4180,"ADBL",1.41
1373410000,215,216,217,215,906,"ADBL",-0.46
1373490000,211,215,217,210,1952,"ADBL",-1.86
1373750000,213,211,213,211,849,"ADBL",0.95
1373840000,212,213,216,211,520,"ADBL",-0.47
1373930000,212,212,213,208,1405,"ADBL",0
1374010000,218,212,218,209,833,"ADBL",2.83
1374100000,215,218,218,211,3565,"ADBL",-1.38
1374360000,220,215,222,211,1576,"ADBL",2.33
1374440000,219,220,219,213,3960,"ADBL",-0.45
1374530000,220,219,220,215,2380,"ADBL",0.46
1374620000,220,220,220,216,3875,"ADBL",0
1374700000,220,220,221,217,6133,"ADBL",0
1374960000,219,220,220,217,2271,"ADBL",-0.45
1375050000,220,219,222,218,6445,"ADBL",0.46
1375140000,222,220,226,213,4366,"ADBL",0.91
1375220000,227,222,239,220,5674,"ADBL",2.25
1375310000,233,227,234,228,3874,"ADBL",2.64
1375570000,235,233,239,230,6786,"ADBL",0.86
1375650000,244,235,244,230,16970,"ADBL",3.83
1375740000,240,244,244,232,8059,"ADBL",-1.64
1375830000,250,240,255,239,14766,"ADBL",4.17
1375910000,256,250,256,247,10429,"ADBL",2.4
1376170000,258,256,260,246,6243,"ADBL",0.78
1376260000,258,258,258,254,5404,"ADBL",0
1376340000,255,258,260,255,12121,"ADBL",-1.16
1376430000,265,255,275,255,22278,"ADBL",3.92
1376520000,274,265,275,262,17518,"ADBL",3.4
1376780000,289,274,293,271,8762,"ADBL",5.47
1376860000,295,289,299,284,13094,"ADBL",2.08
1376950000,290,295,295,285,14268,"ADBL",-1.69
1377380000,275,290,290,271,9229,"ADBL",-5.17
1377470000,265,275,280,265,10512,"ADBL",-3.64
1377550000,269,265,273,266,5993,"ADBL",1.51
1377730000,270,269,275,261,10781,"ADBL",0.37
1377990000,273,270,278,266,10315,"ADBL",1.11
1378070000,273,273,273,269,4607,"ADBL",0
1378160000,270,273,273,265,9705,"ADBL",-1.1
1378250000,268,270,274,265,5881,"ADBL",-0.74
1378330000,270,268,270,263,4619,"ADBL",0.75
1378590000,268,270,270,266,1430,"ADBL",-0.74
1378680000,265,268,268,260,3761,"ADBL",-1.12
1378760000,260,265,263,256,3506,"ADBL",-1.89
1378850000,256,260,260,255,3560,"ADBL",-1.54
1378940000,256,256,259,255,2297,"ADBL",0
1379200000,251,256,255,247,1705,"ADBL",-1.95
1379280000,243,251,249,240,3105,"ADBL",-3.19
1379370000,249,243,250,239,4190,"ADBL",2.47
1379540000,251,249,253,242,7230,"ADBL",0.8
1379800000,248,251,250,243,3598,"ADBL",-1.2
1379890000,256,248,256,240,4366,"ADBL",3.23
1379970000,255,256,260,249,3569,"ADBL",-0.39
1380060000,252,255,260,250,2342,"ADBL",-1.18
1380150000,250,252,255,248,2947,"ADBL",-0.79
1380410000,250,250,254,248,5593,"ADBL",0
1380490000,253,250,255,251,4048,"ADBL",1.2
1380580000,257,253,258,250,6780,"ADBL",1.58
1380660000,265,257,265,255,4507,"ADBL",3.11
1380750000,261,265,268,255,5989,"ADBL",-1.51
1381010000,268,261,271,260,6298,"ADBL",2.68
1381100000,268,268,272,265,6554,"ADBL",0
1381180000,272,268,275,270,5781,"ADBL",1.49
1381270000,274,272,280,268,10880,"ADBL",0.74
1381360000,287,274,287,274,9084,"ADBL",4.74
1381960000,281,287,293,280,3422,"ADBL",-2.09
1382220000,288,281,292,272,12323,"ADBL",2.49
1382310000,281,288,286,281,5261,"ADBL",-2.43
1382390000,280,281,284,276,2882,"ADBL",-0.36
1382480000,279,280,279,275,6589,"ADBL",-0.36
1382570000,271,279,277,266,8658,"ADBL",-2.87
1382820000,270,271,270,265,6644,"ADBL",-0.37
1382910000,266,270,269,260,7712,"ADBL",-1.48
1383000000,268,266,270,266,5113,"ADBL",0.75
1383090000,270,268,271,263,3999,"ADBL",0.75
1383170000,271,270,275,270,4946,"ADBL",0.37
1383690000,270,271,270,266,3065,"ADBL",-0.37
1383780000,270,270,272,265,2913,"ADBL",0
1384040000,265,270,268,265,3006,"ADBL",-1.85
1384120000,270,265,271,263,2943,"ADBL",1.89
1384210000,282,270,288,270,2751,"ADBL",4.44
1384300000,285,282,290,281,13696,"ADBL",1.06
1384380000,290,285,290,280,7095,"ADBL",1.75
1384990000,306,290,306,295,1316,"ADBL",5.52
1385250000,324,306,336,315,21647,"ADBL",5.88
1385330000,314,324,326,305,13105,"ADBL",-3.09
1385420000,321,314,329,308,28272,"ADBL",2.23
1385510000,340,321,342,321,36076,"ADBL",5.92
1385590000,342,340,342,334,21680,"ADBL",0.59
1385850000,376,342,376,341,23763,"ADBL",9.94
1385940000,405,376,412,360,20977,"ADBL",7.71
1386030000,400,405,404,389,19402,"ADBL",-1.23
1386110000,402,400,425,392,12389,"ADBL",0.5
1386200000,400,402,428,385,21081,"ADBL",-0.5
1386460000,395,400,401,390,16688,"ADBL",-1.25
1386540000,396,395,405,383,26882,"ADBL",0.25
1386630000,400,396,405,391,28690,"ADBL",1.01
1386720000,410,400,412,393,18473,"ADBL",2.5
1386800000,406,410,420,404,17759,"ADBL",-0.98
1387060000,446,406,446,405,20003,"ADBL",9.85
1387150000,490,446,490,444,20965,"ADBL",9.87
1387320000,485,490,518,485,29053,"ADBL",-1.02
1387410000,493,485,500,475,39462,"ADBL",1.65
1387670000,480,493,490,464,19387,"ADBL",-2.64
1387750000,469,480,475,456,33400,"ADBL",-2.29
1387840000,469,469,484,451,30153,"ADBL",0
1388010000,471,469,499,460,15787,"ADBL",0.43
1388270000,465,471,475,450,22999,"ADBL",-1.27
1388440000,460,465,468,455,25659,"ADBL",-1.08
1388530000,439,460,455,432,15862,"ADBL",-4.57
